,Date,Time,League,Home_Team,Away_Team,Odd_Home_Mean,Odd_Away_Mean,Pred_Score_Home,Pred_Score_Away,Predicted_Result,Predicted_Points_Sum,Line,Predicted_Line,Difference,Actual_Score_Home,Actual_Score_Away
37.0,17/10/2021,15:00:00,Lega-A,Olimpia Milano,Venezia,1.26,3.86,82.0,75.0,Assos,157.0,156.5,Over,0.5,93.0,68.0
38.0,17/10/2021,15:30:00,Basket-League,Panathinaikos,Ionikos,1.03,11.43,90.0,70.0,Assos,160.0,160.5,Under,0.5,92.0,78.0
39.0,19/10/2021,16:30:00,Champions-League,AEK Athens,Treviso,1.69,2.13,82.0,81.0,Assos,163.0,159.5,Over,3.5,77.0,92.0
40.0,19/10/2021,16:30:00,Champions-League,Rytas,San Pablo Burgos,3.1,1.36,77.0,84.0,Diplo,161.0,159.0,Over,2.0,87.0,69.0
41.0,19/10/2021,17:00:00,Eurocup,Turk Telekom,Levallois,1.96,1.83,74.0,75.0,Diplo,149.0,151.0,Under,2.0,73.0,65.0
42.0,19/10/2021,17:30:00,Eurocup,Hamburg,Partizan,3.97,1.25,71.0,80.0,Diplo,151.0,154.5,Under,3.5,97.0,106.0
43.0,19/10/2021,18:00:00,Champions-League,Oldenburg,Besiktas,1.52,2.48,82.0,78.0,Assos,160.0,158.0,Over,2.0,81.0,83.0
44.0,19/10/2021,18:00:00,Eurocup,Trento,Joventut Badalona,2.19,1.67,78.0,81.0,Diplo,159.0,156.5,Over,2.5,56.0,86.0
45.0,19/10/2021,18:30:00,Champions-League,Dijon,Nizhny Novgorod,1.26,3.79,78.0,70.0,Assos,148.0,149.5,Under,1.5,89.0,75.0
46.0,19/10/2021,18:30:00,Eurocup,Valencia,Promitheas,1.14,5.64,87.0,74.0,Assos,161.0,159.5,Over,1.5,92.0,82.0
47.0,19/10/2021,19:00:00,Eurocup,Gran Canaria,Cedevita Olimpija,1.3,3.52,85.0,77.0,Assos,162.0,159.5,Over,2.5,77.0,79.0
48.0,20/10/2021,16:00:00,Champions-League,VEF Riga,Szombathely,1.64,2.21,84.0,82.0,Assos,166.0,163.5,Over,2.5,74.0,80.0
49.0,20/10/2021,16:30:00,Eurocup,Lokomotiv Kuban,MoraBanc Andorra,1.46,2.74,85.0,81.0,Assos,166.0,165.0,Over,1.0,93.0,82.0
50.0,20/10/2021,17:00:00,Eurocup,Bursaspor,Virtus Bologna,4.92,1.17,75.0,86.0,Diplo,161.0,160.0,Over,1.0,83.0,101.0
